0:	1.094263097912E-05
1:	1.928595338541E-05
2:	2.676442636584E-05
3:	3.502943582134E-05
4:	4.408857421367E-05
5:	5.203461842029E-05
6:	5.952996070846E-05
7:	6.627749826293E-05
8:	7.232605275931E-05
9:	7.899934280431E-05
10:	8.506447920809E-05
11:	9.186032548314E-05
12:	9.926393249771E-05
13:	1.047326004482E-04
14:	1.091452359105E-04
15:	1.144271736848E-04
16:	1.203981519211E-04
17:	1.270934008062E-04
18:	1.334101543762E-04
19:	1.388143864460E-04
20:	1.437405589968E-04
21:	1.493034505984E-04
22:	1.561901590321E-04
23:	1.638622779865E-04
24:	1.707970222924E-04
25:	1.766246568877E-04
26:	1.817823358579E-04
27:	1.873905712273E-04
28:	1.940154179465E-04
29:	2.010610769503E-04
30:	2.077368844766E-04
31:	2.136347611668E-04
32:	2.191683306592E-04
33:	2.250244288007E-04
34:	2.314764278708E-04
35:	2.382334932918E-04
36:	2.447754668538E-04
37:	2.508141624276E-04
38:	2.565607428551E-04
39:	2.625070628710E-04
40:	2.689041721169E-04
41:	2.755446766969E-04
42:	2.820225781761E-04
43:	2.881300169975E-04
44:	2.941462735180E-04
45:	3.004924801644E-04
46:	3.070894745179E-04
47:	3.138424945064E-04
48:	3.205313987564E-04
49:	3.270342131145E-04
50:	3.334269567858E-04
51:	3.399061388336E-04
52:	3.465839545242E-04
53:	3.533828712534E-04
54:	3.601253847592E-04
55:	3.667285782285E-04
56:	3.732692566700E-04
57:	3.798779798672E-04
58:	3.866183687933E-04
59:	3.934384440072E-04
60:	4.002415516879E-04
61:	4.069602582604E-04
62:	4.136302159168E-04
63:	4.203491262160E-04
64:	4.271769721527E-04
65:	4.340787127148E-04
66:	4.409716639202E-04
67:	4.478188056964E-04
68:	4.546566051431E-04
69:	4.615463258233E-04
70:	4.685156745836E-04
71:	4.755461413879E-04
72:	4.826323129237E-04
73:	4.897008184344E-04
74:	4.967675777152E-04
75:	5.038763047196E-04
76:	5.110574420542E-04
77:	5.182928289287E-04
78:	5.255397991277E-04
79:	5.327800172381E-04
80:	5.400301306508E-04
81:	5.473199998960E-04
82:	5.546600441448E-04
83:	5.620418814942E-04
84:	5.694436840713E-04
85:	5.768514820375E-04
86:	5.842702230439E-04
87:	5.917186499573E-04
88:	5.992137012072E-04
89:	6.067462381907E-04
90:	6.142965285107E-04
91:	6.218556663953E-04
92:	6.294305203483E-04
93:	6.370372138917E-04
94:	6.446778425016E-04
95:	6.523490883410E-04
96:	6.600419292226E-04
97:	6.677514174953E-04
98:	6.754753994755E-04
99:	6.832267972641E-04
100:	6.910116644576E-04
101:	6.988247041591E-04
102:	7.066597463563E-04
103:	7.145096897148E-04
104:	7.223814609461E-04
105:	7.302807644010E-04
106:	7.382111507468E-04
107:	7.461702916771E-04
108:	7.541573140770E-04
109:	7.621723343618E-04
110:	7.702107541263E-04
